Dataset_ID,TSS_method,Organization_ID_membership,raw_record_count,canonical_group_count,target_presence,filter_type,measurement_technique,approach,applications,metadata_status,measurement_classification
GitelsonAA_US_UNL,APHA 2540 D,UNL,204,204,True,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,APHA (2005),Gurlin et al. (2011),VERIFIED,gravimetric_documented
GrebSR_US_WDNR,APHA 2540 D,WDNR,216,216,False,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,APHA (2005),Werther et al. (2022),VERIFIED,gravimetric_documented
HigaH_JP_YNU,APHA 2540 D,YNU,62,62,False,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,APHA (2005),Higa et al. (2020),VERIFIED,gravimetric_documented
JametC_FR_ULCO-LOG,APHA 2540 D,<missing>,568,497,False,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,APHA (2005),<missing>,UNVERIFIED,gravimetric_documented
KravitzJ_ZA_UCT,APHA 2540 D,UCT,28,28,False,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,APHA (2005),Kravitz et al. (2020),VERIFIED,gravimetric_documented
LehmannMK_NZ_UOW_NZ_CST,APHA 2540 D,UOW,65,65,False,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a preweighed filter pad,APHA (2017),<missing>,UNVERIFIED,gravimetric_documented
LehmannMK_NZ_UOW_NZ_LK,APHA 2540 D,UOW,170,169,False,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a preweighed filter pad,APHA (2005),<missing>,UNVERIFIED,gravimetric_documented
LiL_US_IUPUI,IUPUI TSS,IUPUI,188,187,True,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,APHA (2005),Li et al. (2013); Li et al. (2015),VERIFIED,gravimetric_documented
MaR_CN_NIGLAS,APHA 2540 D,NIGLAS,236,221,True,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,APHA (2005),Cao et al. (2017),VERIFIED,gravimetric_documented
MatsushitaB_JP_Tsukuba,APHA 2540 D,Tsukuba,235,235,True,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a preweighed filter pad,APHA (2005),<missing>,UNVERIFIED,gravimetric_documented
MatthewsM_ZA_UCT,APHA 2540 D,UCT,62,31,False,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,APHA (2005),Matthews and Bernard (2013),VERIFIED,gravimetric_documented
MooreT_US_UNH,APHA 2540 D,UNH,30,30,True,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,APHA (2005),<missing>,UNVERIFIED,gravimetric_documented
NguyenTTH_VN_VNU-HUS,APHA 2540 D,VNU-HUS,109,107,False,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a preweighed filter pad,APHA (2005),Ha et al. (2017a); Ha et al. (2017b); Pham et al. (2018),VERIFIED,gravimetric_documented
O'DonnellDM_US_UFI,APHA 2540 D,UFI,9,9,True,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,APHA (2005),O'Donnell et al. (2010); O'Donnell et al. (2013a); O'Donnell et al. (2013b),VERIFIED,gravimetric_documented
OlmansonLG_US_UMN,UMN TSS,UMN,7,7,False,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,APHA (2005),<missing>,UNVERIFIED,gravimetric_documented
OndrusekM_US_NOAA-STAR_KR_CST,NASA TM 2003-211621,NOAA-STAR,53,48,False,"Polycarbonate membrane filter, 0.4μm",Gravimetric measurement from the dried residue on a preweighed filter pad,Strickland and Parsons (1972); Mueller (2003),<missing>,UNVERIFIED,gravimetric_documented
OppeltN_DE_CAU_Kiel,DIN 38409-2:1987-03,CAU_Kiel,26,26,True,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurements from the dried residue on a preweighed filter pad,DIN (1987),Röttgers et al. (2014b),VERIFIED,gravimetric_documented
Ruiz-VerduA_ES_UVEG-CEDEX,APHA 2540 D,UVEG-CEDEX,30,30,False,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a preweighed filter pad,APHA (2005),<missing>,UNVERIFIED,gravimetric_documented
SalemSI_JP_KUAS,APHA 2540 D,KUAS,68,68,True,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,APHA (2005),Salem et al. (2017),VERIFIED,gravimetric_documented
SchallesJ_US_Creighton,Creighton TSS,Creighton;NOAA ECSC;NSF GCE LTER,610,589,False,"Pall Gelman glass microfiber filter, type A/E, 1.0μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,Schalles and Hladik (2012),<missing>,UNVERIFIED,gravimetric_documented
SiswantoE_JP_JAMSTEC,APHA 2540 D,JAMSTEC,51,51,False,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,APHA (2005),<missing>,UNVERIFIED,gravimetric_documented
SpyrakosE_GB_STIR,APHA 2540 D,STIR,48,48,True,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,APHA (2017),<missing>,UNVERIFIED,gravimetric_documented
VanderWoudeA_US_NOAA-GLERL,APHA 2540 D,NOAA-GLERL,462,438,True,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,APHA (2005),<missing>,UNVERIFIED,gravimetric_documented
WernandMR_NL_NIOZ_CST,NIOZ TSS,NIOZ,22,12,False,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,Van der Linde (1998); Tilstone et al. (2002),<missing>,UNVERIFIED,gravimetric_documented
WernandMR_NL_NIOZ_LK,NIOZ TSS,NIOZ,14,14,False,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,Van der Linde (1998); Tilstone et al. (2002),<missing>,UNVERIFIED,gravimetric_documented
WertherM_GB_STIR,APHA 2540 D,STIR,12,12,False,"Whatman® glass microfiber filter, grade GF/F, 0.7μm",Gravimetric measurement from the dried residue on a precombusted and preweighed filter pad,APHA (2005),<missing>,UNVERIFIED,gravimetric_documented
